pipeline,available_scores_full,missing_scores_full,coverage_full,available_scores_ready,missing_scores_ready,coverage_ready,mean_score_ready,score_std_ready,paired_with_baseline,mean_delta_vs_baseline,median_delta_vs_baseline,wins_vs_baseline,ties_vs_baseline,losses_vs_baseline
autodp_ofat_feature_selection_tree_based,837,75,0.9177631578947368,811,7,0.991442542787286,0.7629699860602053,0.18957862612943777,811,-0.007705422183937928,0.0,213,322,276
autodp_ofat_duplicate_removal_exact,838,74,0.918859649122807,812,6,0.9926650366748166,0.7701463542582486,0.18534670048735497,810,-0.0007754649924986578,0.0,65,676,69
autodp_ofat_duplicate_removal_approximate,838,74,0.918859649122807,812,6,0.9926650366748166,0.7696046337792581,0.18486287224672748,810,-0.0013185230529187126,0.0,78,638,94
autodp_ofat_outlier_removal_zscore,838,74,0.918859649122807,812,6,0.9926650366748166,0.7661848983230722,0.1854366371303225,810,-0.004658518878837827,0.0,119,489,202
autodp_ofat_outlier_removal_iqr,829,83,0.9089912280701754,803,15,0.9816625916870416,0.7546442618674563,0.18925163563958197,801,-0.01501272346353553,0.0,86,424,291
autodp_ofat_outlier_removal_lof,836,76,0.9166666666666666,810,8,0.9902200488997555,0.766752625734865,0.1861525869321161,808,-0.0041621952253656615,0.0,122,494,192
autodp_combo_01_basic,827,85,0.9067982456140351,801,17,0.9792176039119804,0.7469686523424165,0.1876202347867819,799,-0.022464421764818533,-0.0030000000000000027,218,162,419
autodp_combo_02_knn_binary,832,80,0.9122807017543859,806,12,0.9853300733496333,0.7621604368057997,0.1814223681604157,805,-0.008456565623740338,0.0,279,153,373
autodp_combo_03_mice_catboost,834,78,0.9144736842105263,808,10,0.9877750611246944,0.7481533236307734,0.19287506796744738,807,-0.02240869769737027,-0.0040000000000000036,252,123,432
autodp_combo_04_em_frequency,827,85,0.9067982456140351,801,17,0.9792176039119804,0.7001908885161948,0.1971609914240379,800,-0.06963944159810116,-0.031,164,93,543
autodp_combo_05_random_ordinal,832,80,0.9122807017543859,806,12,0.9853300733496333,0.7593282429582232,0.18447884036391,805,-0.011302544137972149,0.0,271,206,328
autodp_combo_06_drop_binary,818,94,0.8969298245614035,792,26,0.9682151589242054,0.741832779175261,0.18948520243911257,791,-0.027083925924408083,-0.010000000000000009,213,110,468
autodp_combo_07_mf_frequency,825,87,0.9046052631578947,799,19,0.9767726161369193,0.710759747770928,0.1925085969668644,798,-0.058642896242369964,-0.02199999999999991,176,101,521
autodp_combo_08_knn_catboost,833,79,0.9133771929824561,807,11,0.9865525672371638,0.7504909212859395,0.18987738947962282,806,-0.020285264304409693,-0.002681273497085135,259,125,422
autodp_combo_09_mice_ordinal,835,77,0.9155701754385965,809,9,0.988997555012225,0.7547435824457494,0.18161733894305032,808,-0.01608401222032375,0.0,262,150,396
autodp_combo_10_em_binary,834,78,0.9144736842105263,808,10,0.9877750611246944,0.7150720435826452,0.18958880701494243,807,-0.05552072968755324,-0.020000000000000018,191,89,527
autodp_combo_11_random_frequency,826,86,0.9057017543859649,800,18,0.9779951100244498,0.736922488066253,0.19118925817172122,799,-0.032629889304978406,-0.01200000000000001,207,126,466
autodp_combo_12_drop_catboost,816,96,0.8947368421052632,790,28,0.9657701711491442,0.7397766598021875,0.19154516222956497,789,-0.029201855086968796,-0.008000000000000007,220,126,443
autodp_combo_13_mf_binary,834,78,0.9144736842105263,808,10,0.9877750611246944,0.7103896248947112,0.19147498495156376,807,-0.06020895062912774,-0.02299999999999991,184,92,531
